ndex,thumbnail,name,description
11,https://archives.bulbagarden.net/media/upload/thumb/d/da/0011Metapod.png/70px-0011Metapod.png,Metapod,weak weak frail frail slow light short shed skin bug butterfree metapod 11 predator motionless impact segment crescent insect group pikipeki nose enemy projection evolution greenchrysalis face shell innard temperate steel forest jungle portion eye cell front body metamorphosis point back
12,https://archives.bulbagarden.net/media/upload/thumb/5/55/0012Butterfree.png/70px-0012Butterfree.png,Butterfree,weak weak frail frail slow light short compound eyes tinted lens bug flying  butterfree 12 pair digit anime pattern segment odor ocean cloud antennae rain insect nectar ton flap fang tree oval venation dispute wing field bird part male flower wind powder fur paralysis energy shade sleep truck kilometer condition breeding poisoning tip lepidopteran snout temperate base bend status nest forest jungle circle hand eye honey butterfly antenna compound scale body search back point mile hair weapon blackvenation foot leg water
13,https://archives.bulbagarden.net/media/upload/thumb/3/36/0013Weedle.png/70px-0013Weedle.png,Weedle,weak weak frail frail slow light short run away shield dust bug poison kakuna weedle 13 predator sense segment larvalinsectpokémonwith appetite insect nose warning kind larval one forestsand stinger head face leave combination bug sphere type temperate red bush centimeter forest grass eye weight attacker body tail color inch foot smell toxin scheme
14,https://archives.bulbagarden.net/media/upload/thumb/f/f3/0014Kakuna.png/70px-0014Kakuna.png,Kakuna,weak weak frail frail slow light short shed skin bug poison beedrill kakuna 14 pupil touch insect branch mouth heat tree area insectcocoon dome evolution arm cave poison wait head middle silk temperate forest scythe barb eye strand triangular body tunnel
15,https://archives.bulbagarden.net/media/upload/thumb/f/f7/0015Beedrill.png/70px-0015Beedrill.png,Beedrill,weak weak frail frail slow light short sniper swarm bug poison  beedrill 15 pair signature anime ofwaspsthan togeneration place antennae opponent insect victim mouth area wing colony shape foe sleeker pigment limb lance abdomen pollen behavior trim stinger fruit v stripe poison bee head hive generation middle tip bend wasp temperate abdoman nest forest reproduction speed eye honey thorax move problem welfare structure body whichteddiursacombine food tail attack lackspigment pit concoct feature top territory foreleg leg beedrill
16,https://archives.bulbagarden.net/media/upload/thumb/0/0c/0016Pidgey.png/70px-0016Pidgey.png,Pidgey,weak weak frail frail slow light short big pecks keen eye tangled feet normal flying pidgeotto pidgey 16 predator sense signature cloud pupil itssignature bodiedavianpokémon meadow enemy wing prey crest direction extend cheek range toe head face sclera flight whirlwind temperate beak iris nest tuft dust forest cream plump eye grayish front move tail instinct back marking pink top foot feather
17,https://archives.bulbagarden.net/media/upload/thumb/8/82/0017Pidgeotto.png/70px-0017Pidgeotto.png,Pidgeotto,weak weak frail frail slow light short big pecks keen eye tangled feet normal flying pidgeot pidgeotto 17 signature anime vision itssignature araptor plumage prey crest center raptor toe head face kilometer flier asexeggcuteandmagikarp day flight tip talon temperate beak intruder nest forest cream eye move tail food marking mile animeha feather territory leg
18,https://archives.bulbagarden.net/media/upload/thumb/7/73/0018Pidgeot.png/70px-0018Pidgeot.png,Pidgeot,weak weak frail frail fast light short big pecks keen eye tangled feet normal flying  pidgeot 18 signature pupil mane rest height skilledtrainer itssignature flap tree plumage enemy wing wingtip plume project side week crest power windstorm sound magenta underpart center toe growth highlight head streamer current air flight talon backward beak temperate choice forest cream speed evolve eye glossyplumageis front move itmega body tail fan marking avian foot feather leg antenna
19,https://archives.bulbagarden.net/media/upload/thumb/a/aa/0019Rattata.png/70px-0019Rattata.png,Rattata,weak weak frail frail slow light short guts hustle run away normal raticate rattata 19 predator end paw pair signature population togeneration control smell bite itssignature rodent inside fang area habit cheek fur savanna sound face sclera day rattata people tip order environment iris nest tuft toalolaand cream onplain purple eye cargo move let line tail tooth food feature ear rattata ship plain measure home whisker thank life
19,https://archives.bulbagarden.net/media/upload/thumb/a/aa/0019Rattata.png/70px-0019Rattata.png,Rattata-Alola,weak weak frail frail slow light short gluttony hustle thick fat dark normal raticate-alola rattata-alola 19 predator end paw pair signature population togeneration control smell bite itssignature rodent inside fang area habit cheek fur savanna sound face sclera day rattata people tip order environment iris nest tuft toalolaand cream onplain purple eye cargo move let line tail tooth food feature ear rattata ship plain measure home whisker thank life
20,https://archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/70px-0020Raticate.png,Raticate,weak weak frail frail fast light short guts hustle run away normal  raticate 20 togeneration dish itssignature cinderblock -like growth ingredient selectivity building hind move wall manner chin color ship female whisker edge population control restaurant fang enemy foe stockpile shriek fruit feeding face eat house rock hand ground signature inside patch arm fur quality toe tawny incisor nest region calorie balance cream log belly eye cargo tooth class variant ear plain top foot leg leaf diet dispute side raticate cheek test environment steel webbing inplain tail food measure territory savanna
20,https://archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/70px-0020Raticate.png,Raticate-Alola,weak weak frail frail slow light short gluttony hustle thick fat dark normal  raticate-alola 20 togeneration dish itssignature cinderblock -like growth ingredient selectivity building hind move wall manner chin color ship female whisker edge population control restaurant fang enemy foe stockpile shriek fruit feeding face eat house rock hand ground signature inside patch arm fur quality toe tawny incisor nest region calorie balance cream log belly eye cargo tooth class variant ear plain top foot leg leaf diet dispute side raticate cheek test environment steel webbing inplain tail food measure territory savanna
20,https://archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/70px-0020Raticate.png,Raticate-Alola-Totem,weak weak frail frail slow light short thick fat dark normal  raticate-alola-totem 20 togeneration dish itssignature cinderblock -like growth ingredient selectivity building hind move wall manner chin color ship female whisker edge population control restaurant fang enemy foe stockpile shriek fruit feeding face eat house rock hand ground signature inside patch arm fur quality toe tawny incisor nest region calorie balance cream log belly eye cargo tooth class variant ear plain top foot leg leaf diet dispute side raticate cheek test environment steel webbing inplain tail food measure territory savanna
21,https://archives.bulbagarden.net/media/upload/thumb/2/2d/0021Spearow.png/70px-0021Spearow.png,Spearow,weak weak frail frail slow light short keen eye sniper normal flying fearow spearow 21 predator wasteland anime pupil height insect climate plumage ekansis wing field kind foe aspect habitat underside beige pinkish shriek stripe toe head kilometer flock tip beak speed eye front danger tail back flying mile avian foot feather territory distance
22,https://archives.bulbagarden.net/media/upload/thumb/9/92/0022Fearow.png/70px-0022Fearow.png,Fearow,weak weak frail frail fast light short keen eye sniper normal flying  fearow 22 land wasteland ocean pupil insect year climate wing field prey habitat fish toe stamina head day flight tip mural talon beak base iris human mainlywasteland portion eye neck vulturine redcoxcombon avian top feather water
23,https://archives.bulbagarden.net/media/upload/thumb/d/d2/0023Ekans.png/70px-0023Ekans.png,Ekans,weak weak frail frail slow light short intimidate shed skin unnerve poison arbok ekans 23 pair wasteland signature branch bite scent curve mouth tree nose ability prey direction movie ekan stripe meal swimming forest purple grass ingeneration eye neck move jaw line body age danger tooth position night tongue rattle plain frompidgeyandspearownest serpentinepokémon savanna
24,https://archives.bulbagarden.net/media/upload/thumb/5/51/0024Arbok.png/70px-0024Arbok.png,Arbok,weak weak frail frail slow light short intimidate shed skin unnerve poison  arbok 24 hood wasteland pattern anime signature opponent rest serpentine mouth aswooper fang enemy streak ability prey week venom part cobra power tostatus period mimic sound invulnerability v stripe drum head face vibration time condition air variation target acobra environment intruder status steel wild forest form formekan ingeneration eye move particular body tooth anatomy oil nature eyespot matter plain stat home chase savanna
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu,weak weak frail frail slow light short lightning rod static electric raichu raichu-alola pikachu 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Original,weak weak frail frail slow light short static electric  pikachu-original 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Hoenn,weak weak frail frail slow light short static electric  pikachu-hoenn 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Sinnoh,weak weak frail frail slow light short static electric  pikachu-sinnoh 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Unova,weak weak frail frail slow light short static electric  pikachu-unova 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Kalos,weak weak frail frail slow light short static electric  pikachu-kalos 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Alola,weak weak frail frail slow light short static electric  pikachu-alola 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Partner,weak weak frail frail slow light short static electric  pikachu-partner 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
25,https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png,Pikachu-Starter,weak weak frail frail fast light short lightning rod static electric  pikachu-starter 25 specie anime player cloud bolt mouth access message energy stripe sleep strike telephone thelight base circle variantshave grass hind pole move back female notch paw stress event finger severalsignature sign grounding addition spot wire v forearm storm discharge pouch form hat ingeneration position outfit surrounding playerstart location stat home end signature lightning partner rodent group heart area squeak item patch fur toe time condition tip people gesture equipment eye medium gland contest lack intensity variant difference ear animeha top foot theanime start leg time.[1 gender complication rod relative power cheek forage plant storage way pikachu shock cap otherelectricpokémon electricity tail z occasion knownto
26,https://archives.bulbagarden.net/media/upload/thumb/b/b0/0026Raichu.png/70px-0026Raichu.png,Raichu,weak weak frail frail fast light short lightning rod static electric  raichu 26 bolt climate charge stripe -like mystery stone air spiral recipe outside base bottom pancake forest circle researcher sol star triangular move back sparksurfer marking result female edge paw stress nose ability reason evolution addition center heel viaevolution form aroma dark orange pad thunderbolt namehodad body line look atmosphere ground end lightning curl rodent origin inside sac volt patch arm fur time people tip inforest nest wild region belly voltage eye muscle feature ear transformation foot digit diet coloring name power cheek weather change shock surfboard asurfboardand glow woodland float role electricity tail z state
26,https://archives.bulbagarden.net/media/upload/thumb/b/b0/0026Raichu.png/70px-0026Raichu.png,Raichu-Alola,weak weak frail frail fast light short surge surfer electric psychic  raichu-alola 26 bolt climate charge stripe -like mystery stone air spiral recipe outside base bottom pancake forest circle researcher sol star triangular move back sparksurfer marking result female edge paw stress nose ability reason evolution addition center heel viaevolution form aroma dark orange pad thunderbolt namehodad body line look atmosphere ground end lightning curl rodent origin inside sac volt patch arm fur time people tip inforest nest wild region belly voltage eye muscle feature ear transformation foot digit diet coloring name power cheek weather change shock surfboard asurfboardand glow woodland float role electricity tail z state
27,https://archives.bulbagarden.net/media/upload/thumb/e/e9/0027Sandshrew.png/70px-0027Sandshrew.png,Sandshrew,weak weak frail frail slow light short sand rush sand veil ground sandslash sandshrew 27 predator anime opponent ice mountain desert - climate grant inside heat area exploit almond dome four stomach fall defense ball skin sand cave way digging time blue claw head volcano surface festival type bug burrow dirt shell competition igloo snout nest region light steel muzzle plate cream snow forepaw rock belly blizzard eye custom triangular life attacker thedesert body tail activity brick hide surrounding entrance foursin counterpart passingbug ear tunnel foot pholidote water
27,https://archives.bulbagarden.net/media/upload/thumb/e/e9/0027Sandshrew.png/70px-0027Sandshrew.png,Sandshrew-Alola,weak weak frail frail slow light short slush rush snow cloak ice steel sandslash-alola sandshrew-alola 27 predator anime opponent ice mountain desert - climate grant inside heat area exploit almond dome four stomach fall defense ball skin sand cave way digging time blue claw head volcano surface festival type bug burrow dirt shell competition igloo snout nest region light steel muzzle plate cream snow forepaw rock belly blizzard eye custom triangular life attacker thedesert body tail activity brick hide surrounding entrance foursin counterpart passingbug ear tunnel foot pholidote water
28,https://archives.bulbagarden.net/media/upload/thumb/a/a4/0028Sandslash.png/70px-0028Sandslash.png,Sandslash,strong weak frail frail slow light short sand rush sand veil ground  sandslash 28 paw ice spike mountain desert plow indesert tree area enemy photographer field almond camouflage part dwelling four thesandshrewwaiting underside farm ball spine pholidote feed claw air tip people quill burrowing shot order region steel light muzzle snow belly forepaw eye weight photographers.[1]people icicle body path tail hide back counterpart variant night dawn climbing weapon spray foot ground iceberg
28,https://archives.bulbagarden.net/media/upload/thumb/a/a4/0028Sandslash.png/70px-0028Sandslash.png,Sandslash-Alola,strong weak bulky frail slow light short slush rush snow cloak ice steel  sandslash-alola 28 paw ice spike mountain desert plow indesert tree area enemy photographer field almond camouflage part dwelling four thesandshrewwaiting underside farm ball spine pholidote feed claw air tip people quill burrowing shot order region steel light muzzle snow belly forepaw eye weight photographers.[1]people icicle body path tail hide back counterpart variant night dawn climbing weapon spray foot ground iceberg
29,https://archives.bulbagarden.net/media/upload/thumb/b/b2/0029Nidoran.png/70px-0029Nidoran.png,Nidoran-F,weak weak frail frail slow light short hustle poison point rivalry poison nidorina nidoran-f 29 predator pair paw scratch specie ♂ drop wind cheek forehead quadrupedal spot spine poison berry claw space incisor assavanna mammalian barb horn eye tooth back ear plain whisker savanna
30,https://archives.bulbagarden.net/media/upload/thumb/e/ea/0030Nidorina.png/70px-0030Nidorina.png,Nidorina,weak weak frail frail slow light short hustle poison point rivalry poison nidoqueen nidorina 30 biting paw specie spike sky group kind foe child bluemammalianpokémonwith cry patch quadrupedal poison claw burrow hotsavanna mammalian paste family horn hind eye bond jaw tail tooth food attack other ear mother plain foreleg leg savanna
31,https://archives.bulbagarden.net/media/upload/thumb/9/9d/0031Nidoqueen.png/70px-0031Nidoqueen.png,Nidoqueen,weak weak frail frail slow light short poison point rivalry sheer force poison ground  nidoqueen 31 specie spike inside foe bulk child insavanna contact protection evolution length forehead spine poison tackle claw stone result viaevolution burrow snout abdoman wild plate horn hand distinctreptilianfeature eye front chest move gap scale jaw body line tremor tail attack back entrance feature ear armor plain foot ground savanna
32,https://archives.bulbagarden.net/media/upload/thumb/8/8c/0032Nidoran.png/70px-0032Nidoran.png,Nidoran-M,weak weak frail frail slow light short hustle poison point rivalry poison nidorino nidoran-m 32 specie spike inside enemy wing charge venom male patch direction forehead savanna sound quadrupedal spine poison space size order assavanna strength mammalian horn eye muscle line notice tooth back location ear plain ♂ life
33,https://archives.bulbagarden.net/media/upload/thumb/1/1e/0033Nidorino.png/70px-0033Nidorino.png,Nidorino,weak weak frail frail slow light short hustle poison point rivalry poison nidoking nidorino 33 specie impact might formoon inside boulder foe male patch forehead presence spine poison quadrupedalmammalianpokémon claw nidorino foot hotsavanna snout bristle adrenaline barb purple horn eye jaw body tooth surrounding back search ear plain ridge leg diamond savanna
34,https://archives.bulbagarden.net/media/upload/thumb/2/21/0034Nidoking.png/70px-0034Nidoking.png,Nidoking,strong weak frail frail slow light short poison point rivalry sheer force poison ground  nidoking 34 anevolution specie gray enemy prey foe charge male tower insavanna evolution cheek fur forehead spine constrict metal claw time stone foot snout nidoking steel tuft strength mammalian wild plate belly horn rampage distinctreptilianfeature eye hand chest elbow nail tail tooth manga acid hide back transmission feature ear plain ridge result bone diamond distance savanna
35,https://archives.bulbagarden.net/media/upload/thumb/b/b7/0035Clefairy.png/70px-0035Clefairy.png,Clefairy,weak weak frail frail slow light short cute charm friend guard magic guard fairy clefable clefairy 35 pair itsmountain anime curl mountain mouth area oval wing bipedal field home corner arm cheek fur forehead moonlight protrude claw flight dance tip sun human clefairy light tuft wrinkle star eye hand butterfly body toenail chubby tooth tail moon back ear animeha occasion foot thumb
36,https://archives.bulbagarden.net/media/upload/thumb/a/a4/0036Clefable.png/70px-0036Clefable.png,Clefable,weak weak frail frail slow light short cute charm magic guard unaware fairy  clefable 36 pair anime creature lake lock marriage finger area oval wing side world areasof bouncy tradition drop gait forehead fur pin toe nocturnalcreature tip people stare wrinkle sol hand star eye mileaway kin body legend tail moon scientist hang back point hearing night ear animeha mile voice foot water
37,https://archives.bulbagarden.net/media/upload/thumb/0/06/0037Vulpix.png/70px-0037Vulpix.png,Vulpix,weak weak frail frail slow light short drought flash fire fire ninetales vulpix 37 predator precision paw pack opponent rest bang appearance ice mountain wisp wispy lock mouth inside nose flame c prey name evolution ghost fur quadrupedal head time tip environment snout human region injury breath peak cream snow ° eye temperature triangular pelt pad body split tail vulpix ear hair increase plain top skulk fire
37,https://archives.bulbagarden.net/media/upload/thumb/0/06/0037Vulpix.png/70px-0037Vulpix.png,Vulpix-Alola,weak weak frail frail slow light short snow cloak snow warning ice ninetales-alola vulpix-alola 37 predator precision paw pack opponent rest bang appearance ice mountain wisp wispy lock mouth inside nose flame c prey name evolution ghost fur quadrupedal head time tip environment snout human region injury breath peak cream snow ° eye temperature triangular pelt pad body split tail vulpix ear hair increase plain top skulk fire
38,https://archives.bulbagarden.net/media/upload/thumb/3/3e/0038Ninetales.png/70px-0038Ninetales.png,Ninetales,weak weak frail frail fast light short drought flash fire fire  ninetales 38 paw anime pack opponent mane grassland appearance ice half year mouth nose flame ability deity ingrassland crest offense evolution power force defense fur ball threat energy coat mind head stone distress viaevolution tip human wild region tuft speech form orange snow ground rock eye crystal ninetale triangular neck front cappedmount ofvulpix bullet messenger tail shield ear animeha temperament result territory toed leg canine
38,https://archives.bulbagarden.net/media/upload/thumb/3/3e/0038Ninetales.png/70px-0038Ninetales.png,Ninetales-Alola,weak weak frail frail fast light short snow cloak snow warning ice fairy  ninetales-alola 38 paw anime pack opponent mane grassland appearance ice half year mouth nose flame ability deity ingrassland crest offense evolution power force defense fur ball threat energy coat mind head stone distress viaevolution tip human wild region tuft speech form orange snow ground rock eye crystal ninetale triangular neck front cappedmount ofvulpix bullet messenger tail shield ear animeha temperament result territory toed leg canine
39,https://archives.bulbagarden.net/media/upload/thumb/3/3a/0039Jigglypuff.png/70px-0039Jigglypuff.png,Jigglypuff,weak weak frail frail slow light short competitive cute charm friend guard normal fairy wigglytuff jigglypuff 39 opponent year inside area inlush meadow ancestor octave wavelength lullaby arm wave fur range sleep attention head song air capacity resemblance lung region tuft eye brain body drowsiness skill voice individual ear plain top foot melody life
40,https://archives.bulbagarden.net/media/upload/thumb/e/e2/0040Wigglytuff.png/70px-0040Wigglytuff.png,Wigglytuff,weak weak frail frail slow light short competitive cute charm frisk normal fairy  wigglytuff 40 bean limit opponent tear debris inside yarn field bouncy evolution arm layer mood fur aballoon -like head time stone viaevolution tip people leporine size order rabbit fluffy balloon tuft wild belly eye body likepokémonwithleporinefeature color feature ear plain result leg
41,https://archives.bulbagarden.net/media/upload/thumb/4/4c/0041Zubat.png/70px-0041Zubat.png,Zubat,weak weak frail frail slow light short infiltrator inner focus poison flying golbat zubat 41 anime echolocation sunlight abundance eave daylight abode mouth inside fang finger cost exposure wing colony kind nostril prey male cry habitat mass obstacle frequency skin chiropteranpokémon cave warmth condition chiropteran target order environment sunbeam forest building eye membrane jaw tail tooth other night darkcave ear daytime female theanime withecholocation
42,https://archives.bulbagarden.net/media/upload/thumb/7/76/0042Golbat.png/70px-0042Golbat.png,Golbat,weak weak frail frail slow light short infiltrator inner focus poison flying crobat golbat 42 blood land member pupil victim thing attempt golbat mouth inside fang wing kind extent cave ounce turn feed way chiropteran straw result type typepokémon human steel fromsteel mirror tube eye membrane triangular wall jaw incave hunger hide sitting scrying ear tongue distance foot ground leg milliliter
43,https://archives.bulbagarden.net/media/upload/thumb/1/16/0043Oddish.png/70px-0043Oddish.png,Oddish,weak weak frail frail slow light short chlorophyll run away grass poison gloom oddish 43 predator signature anime grassland aroot itssignature mouth tree object ingrassland name vegetable bulbor root bulb patch earth inthe moonlight plant meter head leave surface day soil seed sun fool ingeneration eye move body glossier night nameoddium foot ground state
44,https://archives.bulbagarden.net/media/upload/thumb/e/e0/0044Gloom.png/70px-0044Gloom.png,Gloom,weak weak frail frail slow light short chlorophyll stench grass poison bellossom vileplume gloom 44 signature anime odor likepokémonwith appearance nectar gloom display itssignature mouth production prey male flower spot plant number ingredient perfume head leave kilometer human bipedalrafflesia fertilizer ingeneration hand eye move petal lip drool danger mile plain foot fainting consistency
